Name,AI-Driven,Category,Champion,Description,URL
AI.Image.Enlarger,Yes,Design Creation,No,AI Image Enlarger & Enhancer Tools. All-in-one AI toolkits help you enhance and upscale images. Increases image resolution without losing quality.,https://imglarger.com/
Empler AI,Yes,Assistant,No,"Imagine an AI that responds creatively based on your company's knowledge. Empler AI will help your teams and create an environment that increases the efficiency of your business operations.
1. Create your own AI assistant to unlock the potential of your business operations and improve productivity.
2. Empower your AI assistant with your company's knowledge and expertise, delivering improved performance and accuracy in operations.
3. Revolutionize your communication with our AI-powered solutions, providing instant, accurate responses and creative content with ease.",https://www.empler.ai/
QuillO,Yes,Assistant,Yes,"Your Data, Your AI. Quillo unlocks your data's potential. Effortlessly transform data into dynamic knowledge graphs and then use it to craft content, that's uniquely you backed by your knowledge.",https://www.quillo.app/
Project by n,No,Learning,No,"We are an architectural graphics studio. We specialize in Revit templates + graphic solutions for architects + design professionals. At Project by n, our objective is to help architecture practices create beautiful drawings in Revit while achieving efficiencies in the production of drawing information and in the delivery projects from conception through to final realization.",https://projectbyn.com/
Newmetrix,Yes,Construction,Yes,"Reducing Risk. Intelligently.
Measure, predict and prevent safety incidents with the power of AI.",https://www.newmetrix.com/
Archslate,Yes,Platform,Yes,Transforming the AEC workforce through AI driven hiring. A platform that reimagines the AEC hiring experience.,https://www.archslate.com/
Qonic,No,Design Specification,No,Cloud-based modelling tools for detailing and upscaling your BIM.,http://www.qonic.com
Ark - Integrator,No,Data Analysis,No,"Ark is a digital integrator platform designed to simplify, accelerate, and decarbonize the construction process.
Integration software that powers modern methods of construction.
Ark seamlessly converts master plans into a schedule of components, provides an online fulfillment marketplace and data insights ensuring the acceleration and simplification of delivery of assets.",https://www.ark.build/
REimagine Home,Yes,Design Creation,No,"Redesign any space to match your vision, or let our AI show you inspiring designs in seconds.",https://www.reimaginehome.ai/
nyfty.ai,Yes,Construction,Yes,"We do 2 things , you can have either, or both:
- https://www.nyfty.ai/automate-field-processes-in-procore (Getting people to comply with your field processes, in Procore or Autodesk).
- Manage Site Attendance (Managing who is on your construction site, from virtual attendance to turnstile control).
",https://www.nyfty.ai/
Deep Space,Yes,Platform,Yes,"Digital Construction. Super Easy. The one digital engineering platform you need to accelerate your construction project from planning and design to site.
1. Collect Data: Effortlessly capture and configure BIM data from Revit models, as well as integrating additional datasets or syncing with Excel for a comprehensive view.
2. Track progress: Enable the team to visualise vast information, and leverage new technologies like AI for a complete understanding of construction projects.
3. Accelerate Construction: Utilise powerful apps to uncover actionable insights, promoting informed decision-making, notifications and timely actions for better project outcomes.",https://www.deep-space.ai/
Hypar,Yes,Design Development,Yes,"The next-generation platform for designing, generating, and sharing building systems.",https://hypar.io/
Spacio,Yes,Design Development,No,The all-in-one tool for designing buildings. Spacio is a cutting-edge building design tool in the browser. Built for architects and engineers.,https://www.spacio.ai/
Llama 2,Yes,Platform,Yes,"The next generation of our open source large language model. Llama 2 is available for free for research and commercial use. 
See also: https://huggingface.co/spaces/ysharma/Explore_llamav2_with_TGI",https://ai.meta.com/llama/
Fliki,Yes,Design Creation,No,Turn text into videos with AI voices. Create videos from scripts or blog posts using realistic voices in 2 minutes!,https://fliki.ai/
InvokeAI,Yes,Design Creation,No,"InvokeAI is a leading creative engine built to empower professionals and enthusiasts alike. Generate and create stunning visual media using the latest AI-driven technologies. InvokeAI offers an industry leading Web Interface, interactive Command Line Interface, and also serves as the foundation for multiple commercial products.",https://github.com/invoke-ai/InvokeAI
Plais,Yes,Design Creation,No,AI Generated Staged Interiors in under a minute. Attract more clients with the help of AI improved interiors.,https://plais.io/
Stylib,Yes,Design Specification,Yes,"Stylib is a material search platform that actually works. We develop tools and technologies that speed-up and simplify the discovery and curation of architectural products. Built for professionals, Stylib users search faster, wider and with no commercial bias while using tools that make their work more effective.
Stylib allows designers to instantly match any image to reputable suppliers' products. Our users discover, create and share moodboards made from real products in minutes, and get multiple product samples sent to their door in a single mouse click.

With Stylib, suppliers:
- Make it easier than ever for designers to find their products using Stylib’s leading Image Search tools.
- Put their products in context, lighting fast, with Stylib’s digital moodboards.
- Learn more on what designers are looking for by getting access to Stylib’s insights.
- Benefit from exposure to new architectural audiences.
- Give their sales reps the best digital tools available.",https://stylib.com/
Civils.ai,Yes,Assistant,No,Your Construction Project's AI Co-Pilot. Stop digging through hundreds of files to find information.  Feed your documents into a custom AI Co-Pilot for your project.  Instantly answer questions on all your project details and view site data.,https://civils.ai/
Leo,Yes,Design Creation,Yes,"Turn ideas into products, in seconds. Hi, I’m Leo, the world's first engineering design copilot powered by generative AI. If you can imagine it, I can design it, from parts to fully assembled products with 3D CAD models you can edit anywhere.",https://www.getleo.ai/
Trickle,Yes,Assistant,Yes,"Turn Your Screenshot Chaos into Gold. Trickle transforms your screenshots using GPT-4. Beyond summarization, we decode the essence of your captures.",https://www.trickle.so/
FYI,Yes,Assistant,No,"http://fyi.ai/ is your creative co-pilot. Ask http://fyi.ai/ to draft stories, song lyrics, product descriptions, marketing copy, or any written content - and see the results within seconds. Give it super-contextual feedback to fine-tune your ideas. You can riff with http://fyi.ai/ naturally like a member of your own creative team. With http://fyi.ai/, you can ideate faster than ever before and turbocharge your creative output.",https://fyi.fyi/
Aurivus,Yes,Data Analysis,Yes,The aurivus AI understands structured and unstructured point clouds. It searches for parts and inserts BIM attributes directly into the point cloud. Even a previous cleanup is not necessary any more.,https://aurivus.com/
synthesia,Yes,Design Creation,No,"#1 AI VIDEO GENERATION PLATFORM. Turn your text into videos in minutes:
• Get natural sounding AI voices in 120+ languages
• Make your videos more engaging with 140+ AI Avatars
• Edit as simply as a slide-deck, no experience required",https://www.synthesia.io/
byword,Yes,Assistant,No,"Generate high quality, AI-written articles at scale. Upload a list of hundreds of keywords or titles, and generate SEO-optimized articles in just a few clicks.",https://byword.ai/
BlueWillow,Yes,Design Creation,Yes,"Join us to Create Amazing AI-Generated Images.
From logos, landscapes and characters to digital artwork, just describe the image you want and our AI image generating tool will create the perfect graphic for your project.",https://www.bluewillow.ai/
Parallelo,Yes,Design Development,No,"More room for to be an architect. Our vision is to unleash the creative potential in the development of large housing projects. Area optimal and furnishable apartment plans.  Generated in seconds. Parallelo exists to unleash the creative potential that exists with you developing large housing projects. Right now we are working on our first initiative – the idea on which the entire company is founded - a digital tool that uses parametric design to generate apartment plans. By using computing power to do the manual tasks and the heavy calculations, architects and builders can now free up time to work closer together to find location-adapted and sustainable living environments that enrich the surroundings and increase the quality of life of the people who live there.",https://www.parallelo.io/
Dokkio,Yes,Assistant,Yes,"Find, organize, and understand all your online files. Dokkio gives you and your team a single place where files from all of your cloud accounts and your Mac or Windows PC, come together.",https://www.dokkio.com/
Buildots,Yes,Construction,Yes,"One central platform connecting all aspects, connecting you straight to reality.",https://buildots.com/
Canvas,No,Robotics,No,The future of construction. Transform your frywall-finishing process with the game-changing Canvas machine.,https://www.canvas.build/
Mosaic,Yes,Platform,Yes,"AI-Powered Project & Resource Planning Software. Mosaic uses machine learning to allow AEC firms to plan projects, schedule work, and manage workload.",https://www.mosaicapp.com/
SchemeFlow,Yes,Design Development,No,AI-Powered Transport Planning. Automated report drafting lets you focus on the big picture.,https://www.schemeflow.com/
Polycam,No,AR/VR/MR,No,"3D capture, for everyone. LiDAR scanning and photogrammetry made easy.",https://poly.cam/
Humata,Yes,Data Analysis,No,Ask Questions & Get Answers About Any File Instantly.,https://www.humata.ai/
BIMLOGIQ,Yes,Design Specification,No,"Design Smarter, Design with AI - Smart Annotation & Smart Schematic (for Revit).
We provide AI solutions for the construction industry using cutting-edge technologies. We develop solutions that help you improve the performance of your construction business.",https://bimlogiq.com/
Plans2BIM,No,Design Specification,Yes,Online automatic conversion of your 2D plans into BIM.,https://plans2bim.com/
Archistar,Yes,Design Development,No,"Find and reveal the highest & best use of any site.
A tool that uses AI to generate building designs based on user input and constraints.",https://www.archistar.ai/
HomeDesigns AI,Yes,Design Creation,No,"Redesign Exteriors, Interiors, Gardens, Patios, Terraces with AI, in Less than 30 Seconds. Upload your photo, choose a mode and pick from over 40 design styles. Reimagine Any Home Interior, Exterior, or Garden using AI.",https://homedesigns.ai/
GitBook,Yes,Platform,Yes,"Where technical teams document. GitBook makes it easy to plan, centralize and share knowledge, from start to ship.",https://www.gitbook.com/
Respell,Yes,Platform,Yes,"Create AI Apps in Seconds. Respell enables you to build, deploy, and manage cutting-edge AI apps, no code required.",https://respell.ai/
The Brief. Space,Yes,Design Development,No,"Urban design software created for planners, architects and developers exclusively for iPad.
The Brief is an app built specifically for the early stages of urban design. Procedural design integrated with intuitive user interface provides necessary tools for fast city prototyping and design data evaluation.",https://www.thebrief.space/
FacadeGenius,Yes,Design Development,Yes,"AI Copilot for Sustainable Facade Design. Fast. Easy. Smart.
The first cloud-based platform that empowers architects to design facades for sustainable buildings on demand.",https://www.facadegenius.io/
ChatGPT,Yes,Platform,Yes,"ChatGPT is a conversational AI model developed by OpenAI. It uses the latest advancements in deep learning to generate human-like responses to text-based inputs. ChatGPT can assist BIM experts in several ways:

1. Providing information: ChatGPT has been trained on a vast amount of information and can be used to provide relevant information to BIM experts. For example, it can answer questions about industry standards, software, and workflows.
2. Automating tasks: ChatGPT can automate simple and repetitive tasks that BIM experts may face, such as data entry, formatting, and reporting.
3. Improving collaboration: ChatGPT can be used to facilitate collaboration among BIM experts by assisting in the sharing of information, feedback, and knowledge.
4. Providing insights: ChatGPT can provide insights and analysis to help BIM experts make informed decisions and improve their work processes.
5. Offloading workload: By automating tasks and providing information, ChatGPT can help BIM experts reduce their workload and focus on more complex and creative tasks.

Overall, ChatGPT has the potential to improve efficiency, accuracy, and collaboration in the BIM industry.",https://chat.openai.com/
HŌM,Yes,PropTech,No,"HŌM has one critical mission, shorten the design and delivery of housing, by concentrating on and streamlining the design, planning and construction process of housing.
Urban populations are increasing dramatically and we are failing to meet the demand for housing, making property unaffordable for many.
Our platfrom allows you to navigate housing design and planning in a far more efficient way, leading to more supply and more affordable homes.
Leveraging AI and data to create efficiencies HŌM , resulting in Better homes in faster way while minimising carbon footprint and moving closer to sustainability goals.",https://www.xn--hm-vra.xyz/
OpenMaterialData,No,AEC Hackathon,Yes,"In short: ‘Google for materials.’ The ultimate goal of the OpenMaterialData project is to enable all stakeholders in the construction industry to perform their workflows on the same product specific datasets, regardless of which software tools they use. This results in significant benefits that are critical to a greener and more productive construction industry. Firstly, evaluating and comparing a much broader range of materials / products becomes significantly easier through holistic filtering (quality, performance, sustainability, cost), especially for less experienced stakeholders. Secondly, transparency increases. Among other things, the impact of a material on the performance of a building can be much better visualized, innovative products can enter the market more easily and assessing the circularity index of a building becomes much simpler. Thirdly, manual labor and inaccuracies in planning are drastically reduced based on digital, user centric services, which directly addresses the shortage of experts.",https://github.com/opensource-construction/open-material-data
BlenderGPT,Yes,Design Specification,Yes,This addon allows you to use Blender with natural language commands using OpenAI's GPT-3.5/GPT-4.,https://github.com/gd3kr/BlenderGPT
Alpha Signal AI,Yes,News,Yes,"Stay up to date with the latest in AI. Get a weekly summary of the top research papers, repos, and tweets identified by our AI models.",https://alphasignal.ai/
That Open Company/Platform/People,No,Platform,Yes,"The Open Ecosystem where you can build your own AECO software, help free the industry and make money out of it.",https://thatopen.com/
Archi,Yes,Design Creation,No,Design Your Interior & Exterior With AI. Use our revolutionary AI-powered design tool to generate photo-like images in  seconds. Professionals and individuals can now create unlimited renders of any space.,https://archi.ai/
Sattelite Vu,No,Surveying,No,The world’s thermometer. Delivering transparency to global challenges with hot data from space. Satellite Vu is launching a satellite constellation capable of measuring the thermal emissions of any structure on the planet at multiple times day and night. Identifying and monitoring heat waste from the built environment is imperative as we push towards decarbonization and a Net Zero future.,https://www.satellitevu.com/
There’s an AI for That,Yes,Platform,Yes,Comprehensive database of 6300+ AIs available for 1760+ tasks. Use our smart AI search to find the best AI tools for any use case.,https://theresanaiforthat.com/
Spatio Metrics,Yes,Data Analysis,No,"Spatio Metrics provides the design analytics software you need to scale a consistent, evidence-based workflow across your firm. Spatio’s software helps you generate spatial data, visualize it, and reveal ways to improve operational efficiency and well-being in buildings.",https://www.spatiometrics.com/
3D Warehouse (for SketchUp),Yes,Platform,No,"Trimble https://aecmag.com/tag/SketchUp/’s 3D Warehouse, the free 3D model library, has made it easier to find models, through a new visually-driven search function called Image Search.
Users can now take a photo of an object or drop and drag an existing image into the 3D Warehouse’s search bar, and AI will sift through millions of pre-built models to find matches. The new feature is designed to help architects and designers more easily specify new products for their designs.",https://3dwarehouse.sketchup.com/
3dGURU,Yes,Design Creation,No,"3dGURU is an AI-powered 3D design tool that aims to make the process of creating 3D models and generating renders faster and more efficient for architects and interior designers. It uses artificial intelligence to automate and streamline many of the tasks involved in 3D design, such as creating and refining 3D elements, rendering the design, and previewing changes. This can help designers save time and focus on more creative and strategic aspects of their work, rather than getting bogged down in tedious manual tasks. 3dGURU is designed to be user-friendly and intuitive, so designers can get up and running quickly and start seeing the benefits of using the tool right away. Overall, 3dGURU aims to make 3D design more accessible and efficient for professionals in the architecture and interior design industries.",https://www.3dguru.ai/
ArtiScribe AI,Yes,Design Creation,No,"Unsleash The Power Of Words With ArtiScribe AI. 
Your Personal AI Art Marketing Assistant. 🎨 Craft captivating descriptions, captions and art effortlessly with the world’s first app designed exclusively to empower artists. 🎨",https://artiscribeai.com/
Clipdrop,Yes,Design Creation,Yes,"Clipdrop uses machine learning and AI to provide advanced image manipulation tools on Windows and Mac computers, iOS and Android mobile apps, and as an Adobe Photoshop plug-in. Users can clean up a photo by removing extraneous objects and text or just isolate and export the subject of the image. The AI can also adjust lighting or “enhance” a blown-up section of the image like so many TV shows have imagined.",https://clipdrop.co/
DALL-E 2,Yes,Design Creation,Yes,DALL·E 2 is a new AI system that can create realistic images and art from a description in natural language.,https://openai.com/dall-e-2/
Clockwork Analytics,No,Data Analysis,No,"The industry's best building analytics software. Clockworks' Fault Detection and Diagnostics (FDD) platform plugs into existing building systems, analyzes thousands of data points, and pinpoints the highest impact performance issues, complete with diagnostics.",https://clockworksanalytics.com/
Skema,Yes,Design Development,No,"Early-phase design software. Skema helps architects and urban designers to undertake the site feasibility study providing more informed decisions in less time. Enjoy moving blocks around a site plan in their actual site context & landscape with the proper modelling & analysis tools and generate schedules, all directly in your web browser.",https://www.skema.site/
i4 Technology,Yes,Platform,No,AIM - Next-generation AI-powered Digital Twin. Contact us for a pilot if you want to be one of those who drive the technology that will change the AEC industry forever!,https://www.i4technology.no/
Parametric Solutions,Yes,Design Development,No,"Automated site development.

With the help of parametric tools and generative design it is easy to investigate a wide design scope and compare different solutions. We provide scripts for generative design - All based on your specific design rules.",https://www.parametric.se/
CalcTree,No,Platform,Yes,A flexible no-code web app that runs in the cloud and integrates with the vast range of tools engineers already know and love.,https://www.calctree.com/
Spaces,No,Design Creation,No,"Spaces is fast, fluid and flexible, allowing you to quickly create and explore concepts (directly from your iPad). Sketch out a building outline and see it convert instantly into a 3d building model. Then, take a snapshot and trace over the building to test your design ideas. Building data at your fingertips to inform your design decisions every step of the way. Charts update with every change giving you real-time statistics as you create, edit and assign metadata.",https://www.spacesapp.io/
Cupix,Yes,Construction,Yes,Build Smart. Make the right decisions faster with the industry-leading 3D spatial digital twin platform. It's easy to get started yet powerful for builders and owners.,https://www.cupix.com/
Snipo,Yes,Assistant,Yes,"Side-by-side AI notetaker for your videos. Video Notes to Notion in One Click
and AI Flashcards maker.",https://snipo.io/
ArkoAI,Yes,Design Creation,Yes,"AI Generated Cloud Based Rendering. Reimagine the rendering process with the click of a button. That's ArkoAI. Compatible with Rhino3D, Revit, and SketchUp.",https://arko.ai/
PataBid,Yes,Data Analysis,Yes,"Quantify MEP Estimating Software. Win more work with PataBid's integrated electrical estimating software & mechanical estimating software platform.
- Designed to serve mechanical, electrical, plumbing, fire protection and building automation contractors.
- A powerful MEP estimating software solution.
- Integrated Drafting Capabilities For Design-Build Projects. 
- AI-Based Rapid Count Automatically Counts Devices & Fixtures. 
- Built-In Pricing and Labor Tools.
The best estimating software for electrical contractors and mechanical contractors on the market.",https://www.patabid.com/
Skybox Lab (by Blockade Labs),Yes,Design Creation,Yes,One-click 360° image generator from Blockade Labs.,https://skybox.blockadelabs.com/
Syte,Yes,Surveying,Yes,The AI search engine for land: Find and analyze potential areas - at the push of a button. Find out everything you need to know about a property – with Germany's first AI software for real estate developers and brokers.,https://www.syte.ms/
SmartBarrel,Yes,Construction,Yes,"The most accurate time clock in construction. Powered by biometrics and AI, SmartBarrel completely automates time tracking and guarantees 100% accuracy.",https://smartbarrel.io/
AI SpaceFactory,Yes,Construction,Yes,"AI SpaceFactory is a multi-planetary architectural and technology design agency founded to build a better future – on and beyond Earth.
Follow our adventures on Instagram @AISpaceFactory: https://www.instagram.com/aispacefactory/
SpaceFactory represents our ambition that architecture can drive technology development. As a team of architects, technologists, artists and engineers, SpaceFactory operates at the intersection of ideas and making. We see the spaces and surfaces of architecture as devices that are empowered to inform and interact with us; to serve as an exchange between the physical and digital worlds. People, places and things are connecting. By creating powerful, spatially transformative technologies we can forge a more intimate connection between us and the spaces we inhabit.",https://www.aispacefactory.com/
Stable Diffusion Reimagine (Clipdrop),Yes,Design Creation,No,"What is Stable Diffusion Reimagine? - Stable Diffusion Reimagine is a new algorithm created by https://stability.ai/ that creates images variation from an image. This model will soon be open-sourced in https://github.com/Stability-AI/stablediffusion/
How does Stable Diffusion Reimagine work? - The classical text-to-image Stable Diffusion model is trained to be conditioned on text inputs. This version replaces the original text encoder with an image encoder. So instead of generating images based on text input, images are generated from an image. Some noise is added to generate variation after the encoder. This approach produces similar-looking images with different details and compositions. Unlike the image-to-image algorithm, the source image is first fully encoded, so the generator does not use a single pixel from the original one!
How do I get started with Stable Diffusion Reimagine? - You just need to upload an image, and Stable Diffusion reimagine will automatically create three variations for you. Everything you need to create stunning visuals.",https://clipdrop.co/stable-diffusion-reimagine
Stable Diffusion (Online),Yes,Design Creation,Yes,"Stable Diffusion is a latent text-to-image diffusion model capable of generating photo-realistic images given any text input, cultivates autonomous freedom to produce incredible imagery, empowers billions of people to create stunning art within seconds.
Create beautiful art using stable diffusion ONLINE for free.",https://stablediffusionweb.com/
Picsart,Yes,Design Creation,Yes,Empowering creators of all stripes. Design your success with Picsart's AI-powered photo and video editing tools. No graphic design degree needed.,https://picsart.com/
DecorAI,Yes,Design Creation,No,Interior Ideas in Seconds.,https://decorai.io/
Finch,Yes,Design Specification,Yes,"Optimize building design with AI and graph technology. Get immediate feedback on performance, detect errors and find optimal solutions in the early stages of design.",https://www.finch3d.com/
RealityScan (by Unreal Engine),No,AR/VR/MR,No,"Capture the world with RealityScan, a free to download 3D scanning app with AR guidance. Create realistic 3D models with your iPhone or iPad and upload them directly to Sketchfab.",https://apps.apple.com/us/app/realityscan/id1584832280
Properti,No,PropTech,Yes,Dominate Your Digital Patch. Social Media Marketing Automation for Real Estate.,https://www.properti.ai/
PointFuse,No,Design Specification,Yes,"PointFuse coverts any point cloud data into 3D models. The tool is an integral part of any digital workflow. The conversion of point cloud data into easy-to-use segmented 3D mesh models is an essential part of an integrated workflow utilizing reality capture data to facilitate better decision making across projects and industries. Whether you are using your reality capture data for visualization, BIM coordination, collaboration or space and facilities management, PointFuse is a simple solution that will enable you to deliver accurate results, generating significant savings on both cost and time.",https://pointfuse.com/
CoolAIid,Yes,Design Creation,No,"Transform Your Interior Design with AI. Discover endless possibilities in interior design with our innovative AI-driven platform, crafted for both DIY enthusiasts and professional interior designers. Experience a world of personalized design ideas at your fingertips.",https://coolaiid.com/
Snaptrude,Yes,Design Specification,Yes,Collaborative Building Design Powered by Automation and Intelligent BIM.,https://www.snaptrude.com/
digipara (multiple tools),No,Design Specification,No,"DigiPara BIM software is the easiest way to design your elevator.
- Automate 2D lift drawings.
- Create 3D elevator BIM models.
- Safely add Revit Elevator Families to your building.",https://www.digipara.com/
PDF++,No,AEC Hackathon,No,"PDF Plus is a simple plugin for Grasshopper 3D that lets you compose geometry, images, and text into multi-page documents and write them to PDF files.",https://github.com/PdfRex/PdfPlus
Qbiq,Yes,Design Development,No,AI-powered office layout plans and 3D virtual tours at the click of a button.,https://qbiq.ai/
socra,Yes,Assistant,Yes,"AI-driven. Goal-focused. socra AI helps you plan, track, and navigate your goals from start to finish.",https://socra.com/
VIKTOR,No,Platform,No,A low-code platform empowering engineers to build and share user-friendly web apps with nothing but Python.,https://www.viktor.ai/
ChatwithData.ai,Yes,Assistant,Yes,Powerful AI tool that lets you extract valuable insights and information from data files effortlessly.,https://chatwithdata.ai/home
Modelur,Yes,Design Development,No,"Easy-to-use Parametric Software for Early-stage Site Planning & Feasibility Studies. Modelur brings architects, urban designers and planners all the essential tools needed to easily test multiple urban massing options in your favorite 3D modeling environment - without having to manually recalculate areas and other parameters in Excel!",https://modelur.com/
DeepFloyd IF (by Stability AI),Yes,Design Creation,No,"DeepFloyd IF is a state-of-the-art text-to-image model released on a non-commercial, research-permissible license that provides an opportunity for research labs to examine and experiment with advanced text-to-image generation approaches. In line with other Stability AI models, Stability AI intends to release a DeepFloyd IF model fully open source at a future date.
See: https://stability.ai/blog/deepfloyd-if-text-to-image-model
",https://github.com/deep-floyd/IF
Luma AI,Yes,AR/VR/MR,Yes,"Luma is a new way to create incredible lifelike 3D with AI using your iPhone. Easily capture products, objects, landscapes and scenes wherever you are. From your captures create cinematic product videos, impossible camera moves for TikTok, or just relive the moment. No Lidar or fancy capture equipment necessary, all you need is an iPhone 11 or newer.
https://apps.apple.com/in/app/luma-ai/id1615849914",https://lumalabs.ai/
DATAVERSE,No,Platform,No,"DATAVERSE is a dynamic startup specializing in SaaS solutions. It offers a comprehensive suite of IT solutions with two key components. The first is a cloud-based platform for seamless real-time collaboration among individuals regardless of their location. The second is a sophisticated software package that enables users to convert physical objects into digital equivalents through advanced modeling, simulation techniques, and Digital Twin Technology. This emphasizes data-driven decision making.",https://dtvrs.net/web/
ConcertVDC,No,Data Analysis,No,"Concert data exchange is a tool for securely exchanging digital data, with immutable proofs of data ownership, verified digital signatures & seals, and permanent transaction records utilizing a distributed blockchain ledger.
ConcertVDC is an asset certification system that helps you make sure you always have the correct version of a file.
Digital work changes over time, which can make it difficult to tell if the version of a file that you have is the most up-to-date correct version.
With ConcertVDC, document authors can certify specific versions of their work and distribute it with confidence. Anyone can then use ConcertVDC to scan a file they have to make sure that it is registered and that it matches the most recent version.",https://beta.concertvdc.com/
Pype AI (Autodesk),Yes,Construction,Yes,"Smart Automation for Successful General Contractors. 
Pype’s suite of construction software solutions elevates your efficiency from preconstruction through closeout. https://pype.io/autospecs gives you immediate access to action submittals, product data, and more during precon. Throughout project planning and takeoff, the versioning tool easily keeps track of changes between multiple versions and identifies added, removed, and modiﬁed requirements. Automatically scan drawings for submittals, schedules, and more with https://pype.io/smartplans utilizing advanced Pype AI to identify potentially missing submittals. At the end of your project, use https://pype.io/closeout to automate the document collection process before turning over a polished and branded package to your client. As part of https://construction.autodesk.com/, Pype rounds out a comprehensive tech stack by automating critical workflows, reducing risk, and helping break down data silos across your entire project portfolio.",https://pype.io/
Arqgen,Yes,Design Development,No,Our solution optimizes the Architectural Design generation via Artificial Intelligence and Generative Architecture for Interior Layouts and Building Massing scales.,https://www.arqgen.com.br
Otter,Yes,Assistant,No,"Get an AI meeting assistant that records audio, writes notes, automatically captures slides, and generates summaries.",https://otter.ai/
Bing Image Creator,Yes,Design Creation,No,Create images from words with AI.,https://www.bing.com/create
Khroma,Yes,Design Creation,No,"Design with colors you love. Khroma uses AI to learn which colors you like and creates limitless palettes for you to discover, search, and save.",https://www.khroma.co/
Jasper,Yes,Platform,No,"Jasper is the generative AI platform for business that helps your team create content tailored for your brand 10X faster, wherever you work online.",https://www.jasper.ai/
AGTEK,No,Construction,No,"AGTEK provides Dirt Simple Solutions for the construction industry to accurately takeoff and estimate construction quantities, model efficient construction processes and measuring progress throughout the construction life cycle, ensuring you stay on track.
AGTEK’s collaborative tools put data in the hands of those who need it, in a format allowing easy decision making, if you are walking on site, in a truck or an office. Data can be shared via the cloud and visualized on mobile phones or desktop platforms removing the need to carry paper plans. Data can be sent to all major Machine Control systems including Leica, Trimble and Topcon.
Stay on top of the project as it progresses by measuring changing conditions through UAV / Drone flights or traditional surveys. Ensure your fleet is being put to work effectively by tracking machine movements and utilization every step of the way.
AGTEK’s Dirt. Simple. Solutions help accurately bid and get the job done effectively and efficiently.",https://www.agtek.com/
Topaz Labs (multiple apps),Yes,Design Creation,No,Magically improve your photo and video quality with cutting-edge image enhancement technology.,https://www.topazlabs.com/
QuickQRArt,Yes,Design Creation,Yes,Scannable QR Code Art for your brands generated in seconds by AI.,https://quickqr.art/
Sparkel,Yes,Construction,Yes,Converting concepts to construction with the power of machine learning. The best tool to extract insights from design documents to be used in cost estimation and construction.,https://sparkel.io/
Magician (for Figma),Yes,Design Creation,Yes,Design with the power of AI to do everything from copywriting to generating unique icons from text.,https://magician.design/
Querio,Yes,Data Analysis,Yes,"A personal data analyst for any team. Instead of relying on your data team (if you even have one), Querio let’s you become data driven today by connecting and analyzing any data with zero technical effort.",https://www.querio.ai/
TANGObuilder,Yes,Structural Design,No,"TANGObuilder generates faster, safer and more economical structural designs, while complying with the latest building codes and best international practices, all in real-time and based on your unique needs.",https://wp.jarvisdesign.ai/
q-bot,No,Robotics,Yes,"Underfloor Insulation to keep you https://q-bot.co/benefits-Underfloor-insulation, reduce your https://q-bot.co/benefits-Underfloor-insulation and improve your home’s https://q-bot.co/benefits-Underfloor-insulation. Installed by a robot for your https://q-bot.co/underfloor-insulation-process and your https://q-bot.co/benefits-Underfloor-insulation.",https://q-bot.co/
Northspyre,No,PropTech,Yes,"Northspyre is a cloud-based intelligence platform that empowers real estate professionals to attain predictable outcomes on development, capital and asset projects across real estate project types. It leverages the power of automation, data analytics and proactive insights to help you make better and faster decisions - whether it's on one complex project or several different portfolios.",https://www.northspyre.com/
Concretene,No,Construction,Yes,"Together with Graphene Engineering Innovation Centre (GEIC) at The University of Manchester, Nationwide Engineering has created Concretene, a graphene-enhanced concrete. Concretene has been designed for use in the construction industry for cementitious products, in particular concrete, to provide a viable CO2 reduction technology that can be easily adopted internationally into the industry with minimal change to existing processes.",https://www.nationwideengineering.co.uk/concretene/
Adorilabs,Yes,Assistant,No,"Transform your text into stunning video with AI. We help bloggers monetize their content on YouTube, Increase your reach by 10X by Converting blog to video.",https://www.adorilabs.com/
mbue.AI,Yes,Data Analysis,No,"Automating architectural review. Saving time, money and reducing liability for Architecture, Engineering, and Construction (AEC) companies with AI-based quality control tools.",https://www.mbue.ai/
DroneDeploy,No,Construction,No,Reality capture software. Build with certainty. Operate with confidence. The only platform that connects your people to your sites across the entire asset lifecycle.,https://www.dronedeploy.com/
Sustain.Life,No,PropTech,Yes,Comprehensive sustainability software for every business. Future-proof your business by fighting climate change.,https://www.sustain.life/
A/O proptech,No,PropTech,Yes,"Investing in a better Built World.
Check out their report on AI in The Built World here: https://www.aoproptech.com/insights/ai-in-the-built-world",https://www.aoproptech.com/
IFC.js,No,Platform,Yes,"BIM toolkit for JavaScript.
IFC.js is a JavaScript library to load, display and edit IFC models in the browser.",https://ifcjs.github.io/info/
designedbyai.io,Yes,Design Creation,No,"Transform your interior design or architectural ideas into stunning realistic images in seconds with AI! Whether you are an interior designer, architectural designer or an architect, our platform offers a seamless and intuitive experience that will enhance the way you work and showcase your talent.",https://designedbyai.io/
Gamma,Yes,Platform,Yes,"A new medium for presenting ideas. Powered by AI. Just start writing. Beautiful, engaging content with none of the formatting and design work. Generate docs, decks & webpages in seconds. Create a working presentation, document or webpage you can refine and customize in under a minute, using our powerful AI generator.",https://gamma.app/
Team-GPT,Yes,Assistant,Yes,"Team-GPT adds AI to your team. Learn, collaborate, and master ChatGPT in one shared workspace.",https://team-gpt.com/
